,0
1284,kristen schaal
1285,reiko takagi
1286,jennifer holland
1287,alicia witt
1288,aaron ashmore
1289,shinpachi tsuji
1290,stephen dorff
1291,clara lago
1292,gillian jacobs
1293,seda bakan
1294,michael cera
1295,tiffany grey
1296,alex wolff
1297,emily vancamp
1298,atticus shaffer
1299,tan jianci
1300,tetsuro tamba
1301,nestor carbonell
1302,yu serizawa
1303,tony jay
1304,omi minami
1305,cleopatra coleman
1306,neil dudgeon
1307,joo hyun
1308,daryl hannah
1309,henry fonda
1310,kim hongpa
1311,shioli kutsuna
1312,gilles marini
1313,molly kunz
1314,jeremy irons
1315,malin kerman
1316,jin seoyool
1317,david thewlis
1318,owen teale
1319,logan lerman
1320,timothy omundson
1321,bill murray
1322,sam spruell
1323,song geonhee
1324,yang zishan
1325,mae whitman
1326,kelly overton
1327,gabrielle union
1328,david kross
1329,viktor bychkov
1330,song kangho
1331,tom welling
1332,kazuki kitamura
1333,pamela adlon
1334,ben mendelsohn
1335,valeriy nikolaev
1336,dominic cooper
1337,chris tucker
1338,elena kampouris
1339,yu aoi
1340,kate micucci
1341,aya cash
1342,white sugar
1343,deepika padukone
1344,hafsanur sancaktutan
1345,lee jiah
1346,vijay sethupathi
1347,dub taylor
1348,francisca estevez
1349,roy chiu
1350,ethan cutkosky
1351,choi jinhyuk
1352,vincent tong
1353,emily cox
1354,kat graham
1355,brenda song
1356,will patton
1357,mischa barton
1358,cate blanchett
1359,lorenzo zurzolo
1360,rsula corber
1361,kip pardue
1362,tessa thompson
1363,richard dreyfuss
1364,kwak dongyeon
1365,skyler gisondo
1366,tomas milian
1367,scott foley
1368,jo hyejoo
1369,yko tanaka
1370,ivana milievi
1371,will patton
1372,mischa barton
1373,cate blanchett
1374,lorenzo zurzolo
1375,rsula corber
1376,kip pardue
1377,tessa thompson
1378,richard dreyfuss
1379,kwak dongyeon
1380,skyler gisondo
1381,tomas milian
1382,scott foley
1383,jo hyejoo
1384,yko tanaka
1385,ivana milievi
1386,serenay sarkaya
1387,richard armitage
1388,ai kayano
1389,matt clark
1390,richard li
1391,zge zpirinci
1392,alba rohrwacher
1393,julie andrews
1394,michael b jordan
1395,toru furuya
1396,ikue otani
1397,holt mccallany
1398,julio pea
1399,golda rosheuvel
1400,martin mull
1401,elizabeth mcgovern
1402,richard kind
1403,salman khan
1404,kadeem hardison
1405,rainn wilson
1406,pej vahdat
1407,shia labeouf
1408,rowan atkinson
1409,michael sheen
1410,hannah waddingham
1411,matt servitto
1412,sarah shahi
1413,adam goldberg
1414,riho yoshioka
1415,cenk torun
1416,ken leung
1417,john goodman
1418,michael denison
1419,iu
1420,yang yang
1421,benedetta porcaroli
1422,sofia vassilieva
1423,koji yakusho
1424,lucas jade zumann
1425,ashley judd
1426,michelle pfeiffer
1427,rachel nichols
1428,laura dern
1429,park haeil
1430,joe cole
1431,gary beadle
1432,mary mcdonnell
1433,mamoru miyano
1434,emily deschanel
1435,emmanuelle bart
1436,brittany murphy
1437,ariel winter
1438,kim inae
1439,polly draper
1440,naomi scott
1441,ingrid tesch
1442,annabella sciorra
1443,koichi yamadera
1444,sarah paulson
1445,hampton fancher
1446,alessandro bedetti
1447,kenjiro tsuda
1448,katherine waterston
1449,misa uehara
1450,luke wilson
1451,sylvia syms
1452,masaki okada
1453,mark hamill
1454,seol ina
1455,mikhail efremov
1456,jace norman
1457,patrick dempsey
1458,eiko koike
1459,mira sorvino
1460,cam gigandet
1461,hank azaria
1462,alan tudyk
1463,yuka iguchi
1464,laura linney
1465,jessica henwick
1466,park junmyun
1467,breckin meyer
1468,moon woojin
1469,tomochika
1470,matthew modine
1471,joan cusack
1472,nick zano
1473,melanie liburd
1474,bonnie bedelia
1475,fiona gubelmann
1476,jesse spencer
1477,kyle gallner
1478,thea sofie loch nss
1479,jason bateman
1480,kelly mcgillis
1481,rina sato
1482,rosanna arquette
1483,jane krakowski
1484,brnice bejo
1485,yu shuxin
1486,robin wright
1487,joan cusack
1488,nick zano
1489,melanie liburd
1490,bonnie bedelia
1491,fiona gubelmann
1492,jesse spencer
1493,kyle gallner
1494,thea sofie loch nss
1495,jason bateman
1496,kelly mcgillis
1497,rina sato
1498,rosanna arquette
1499,jane krakowski
1500,ha yulri
1501,brnice bejo
1502,yu shuxin
1503,robin wright
1504,miles teller
1505,indira varma
1506,ezgi asarolu
1507,miguel herrn
1508,richard ayoade
1509,loletta lee
1510,yoshino aoyama
1511,ken watanabe
1512,michael nyqvist
1513,jessica lange
1514,josh hutcherson
1515,samantha morton
1516,pavel maykov
1517,kim sia
1518,dominic jephcott
1519,michele morrone
1520,heino ferch
1521,ahn sukhwan
1522,amber midthunder
1523,awkwafina
1524,nisa sofiya aksongur
1525,john mitchum
1526,steven weber
1527,miyuki sawashiro
1528,emmy clarke
1529,pauly shore
1530,katie cassidy
1531,bill irwin
1532,hera hilmar
1533,josh lucas
1534,corey johnson
1535,im changjung
1536,jennifer coolidge
1537,courtney henggeler
1538,kim sejeong
1539,claire danes
1540,ayyappa p sharma
1541,scott haze
1542,parminder nagra
1543,steve martin
1544,robert shaw
1545,emmy clarke
1546,pauly shore
1547,katie cassidy
1548,bill irwin
1549,hera hilmar
1550,josh lucas
1551,corey johnson
1552,konomi kohara
1553,im changjung
1554,jennifer coolidge
1555,courtney henggeler
1556,claire danes
1557,ayyappa p sharma
1558,scott haze
1559,parminder nagra
1560,steve martin
1561,robert shaw
1562,shohreh aghdashloo
1563,park minyoung
1564,sam shepard
1565,asami sanada
1566,mariette hartley
1567,ezra miller
1568,richard grieco
1569,james coburn
1570,ray liotta
1571,tom wopat
1572,beril pozam
1573,leo wu
1574,grace park
1575,jack davenport
1576,hrithik roshan
1577,jeonghwan kong
1578,missy peregrym
1579,meryem uzerli
1580,hacken lee
1581,paul newman
1582,will forte
1583,melissa moore
1584,kiele sanchez
1585,samantha bond
1586,suzuki matsuo
1587,james garner
1588,nur fettaholu
1589,go minsi
1590,kwon boa
1591,romy schneider
1592,eric bana
1593,emily watson
1594,val kilmer
1595,biran damla ylmaz
1596,john murray
1597,dylan baker
1598,michiel huisman
1599,yda manzano
1600,chelsea peretti
1601,rafe spall
1602,julia jones
1603,wichapas sumettikul
1604,ryunosuke kamiki
1605,gabriel macht
1606,tyler hoechlin
1607,liza lapira
1608,nicholle tom
1609,jude ciccolella
1610,valeria golino
1611,eric winter
1612,matt dillon
1613,alfie allen
1614,selma blair
1615,yuliya aleksandrova
1616,maura tierney
1617,jared padalecki
1618,fan bingbing
1619,maaya sakamoto
1620,xu zhengxi
1621,dean cameron
1622,melissa mccarthy
1623,edward james olmos
1624,kevin dunn
1625,liu yifei
1626,amy acker
1627,meagan good
1628,seo won
1629,saranya ponvannan
1630,topher grace
1631,letitia wright
1632,jeffrey wright
1633,sara paxton
1634,michael chernus
1635,richard schiff
1636,shelley duvall
1637,irina muravyova
1638,deborah raffin
1639,yang ikjune
1640,janet montgomery
1641,sung yuri
1642,david dorfman
1643,he yu
1644,deobia oparei
1645,walter sparrow
1646,bruce mcgill
1647,stephanie nur
1648,riley keough
1649,amanda tapping
1650,bo hopkins
1651,yang zi
1652,manny jacinto
1653,nikolai karachentsov
1654,jennifer grey
1655,bob odenkirk
1656,melisa asl pamuk
1657,vincent klyn
1658,kim dickens
1659,andrey smolyakov
1660,jennifer carpenter
1661,taylor kitsch
1662,natalya rudakova
1663,xu lu
1664,mina anwar
1665,martin sheen
1666,kenjirou ishimaru
1667,jackson rathbone
1668,vivica a fox
1669,zge grel
1670,gloria guida
1671,billy magnussen
1672,richard madden
1673,caroline williams
1674,naruki matsukawa
1675,kenan imirzalolu
1676,marylouise parker
1677,lee byunghun
1678,luke ishikawa plowden
1679,rain
1680,tomohiro tsuboi
1681,annie potts
1682,satomi sato
1683,rani mukerji
1684,yoshitsugu matsuoka
1685,kim kardashian
1686,james cromwell
1687,dawn olivieri
1688,william schallert
1689,kit harington
1690,dylan obrien
1691,jiang zhinan
1692,toshir mifune
1693,danielle harris
1694,caroline goodall
1695,cosmo jarvis
1696,david eigenberg
1697,alexandra shipp
1698,patrick swayze
1699,scott caan
1700,emily alatalo
1701,chris mulkey
1702,ray romano
1703,lena olin
1704,ko shibasaki
1705,bette davis
1706,zhu xudan
1707,kajol
1708,ti
1709,glenn close
1710,julie delpy
1711,terry crews
1712,danny glover
1713,benedict wong
1714,elliott gould
1715,denholm elliott
1716,anthony quinn
1717,udo kier
1718,choi byungchan
1719,mlanie laurent
1720,misha collins
1721,ahn jaemo
1722,billy bob thornton
1723,cess garcia
1724,anna paquin
1725,jang keunsuk
1726,michelle yeoh
1727,anna torv
1728,nina ruslanova
1729,minnie driver
1730,bruce campbell
1731,khary payton
1732,gil bellows
1733,helena bonham carter
1734,andrew lincoln
1735,jim broadbent
1736,kunie tanaka
1737,tatsuya fuji
1738,pat carroll
1739,sadawo abe
1740,raymond singer
1741,brian henson
1742,courtney thornesmith
1743,jeri ryan
1744,ludacris
1745,diana pang
1746,mark calaway
1747,susumu terajima
1748,mert ramazan demir
1749,yang mi
1750,john lamotta
1751,katharine isabelle
1752,angeli khang
1753,asami ogawa
1754,jiang xin
1755,julie christie
1756,ed helms
1757,julian sands
1758,leslie nielsen
1759,robin williams
1760,daniela ruah
1761,eric mun
1762,kelly carlson
1763,jessica harmon
1764,brett cullen
1765,chen zheyuan
1766,sung hyunah
1767,vanessa ferlito
1768,malachi barton
1769,kim sunyoung
1770,rachelle lefevre
1771,andy buckley
1772,james caan
1773,james stewart
1774,colby minifie
1775,hannah dodd
1776,mike dopud
1777,jordana brewster
1778,melissa george
1779,caroline rhea
1780,tom butler
1781,devon sawa
1782,yang chaoyue
1783,kumail nanjiani
1784,emilia fox
1785,edward winter
1786,wunmi mosaku
1787,katsuyuki konishi
1788,olivia thirlby
1789,lance henriksen
1790,lindsay wagner
1791,ema horvath
1792,bill pullman
1793,joe odagiri
1794,daniel stern
1795,julia cheng yimlai
1796,park sangmyeon
1797,april bowlby
1798,rashida jones
1799,dev patel
1800,jennifer ehle
1801,marlon wayans
1802,beren gkyldz
1803,kathryn hahn
1804,madison pettis
1805,kim mooyul
1806,raisa ryazanova
1807,kelsey grammer
1808,cara gonzales
1809,christina hendricks
1810,maggie q
1811,gina carano
1812,jennifer lopez
1813,scott glenn
1814,billy campbell
1815,rhys ifans
1816,hayden panettiere
1817,georgiy vitsin
1818,robert duvall
1819,jensen daggett
1820,yoona
1821,ashton kutcher
1822,alicia silverstone
1823,jaleel white
1824,alexa demie
1825,frederick weller
1826,zhao jinmai
1827,justin long
1828,amy ryan
1829,tim matheson
1830,haruka ayase
1831,alexa davalos
1832,jeff fahey
1833,jenna coleman
1834,emily wickersham
1835,josh gad
1836,ron livingston
1837,andy serkis
1838,kevin zegers
1839,brad beyer
1840,sonja bennett
1841,stephen baldwin
1842,vinnie jones
1843,spencer treat clark
1844,rodney rowland
1845,emily browning
1846,angela bassett
1847,joshua jackson
1848,billie piper
1849,cynthia stevenson
1850,maaya uchida
1851,hitomi nabatame
1852,julie condra
1853,michael stuhlbarg
1854,rob moore
1855,prabhas
1856,neve campbell
1857,james purefoy
1858,james urbaniak
1859,heo joonho
1860,taylor lacher
1861,camila mendes
1862,miranda otto
1863,guy pearce
1864,choi hyunwook
1865,ryan hurst
1866,maia morgenstern
1867,tia carrere
1868,tina majorino
1869,steve howey
1870,takahiro sakurai
1871,roberts blossom
1872,vaishnavi chaitanya
1873,chilton crane
1874,bill cobbs
1875,eleanor tomlinson
1876,jessica harmon
1877,brett cullen
1878,chen zheyuan
1879,sung hyunah
1880,vanessa ferlito
1881,lee sangyi
1882,rachelle lefevre
1883,andy buckley
1884,james caan
1885,james stewart
1886,colby minifie
1887,mike dopud
1888,jordana brewster
1889,melissa george
1890,caroline rhea
1891,tom butler
1892,devon sawa
1893,yang chaoyue
1894,kumail nanjiani
1895,steve whitmire
1896,jaimie alexander
1897,lisa hogan
1898,tatyana dogileva
1899,indiana evans
1900,lee boyoung
1901,beau garrett
1902,dan hedaya
1903,emily bader
1904,pat morita
1905,elena valyushkina
1906,bill camp
1907,rachel keller
1908,catherine ohara
1909,regina king
1910,icet
1911,luke hemsworth
1912,brad hunt
1913,rose van ginkel
1914,chad michael murray
1915,zhao liying
1916,nathan jones
1917,arielle kebbel
1918,michael cudlitz
1919,sally field
1920,tom ellis
1921,susan ward
1922,suniel shetty
1923,casey affleck
1924,jessica jung
1925,cedric the entertainer
1926,issey ogata
1927,naho toda
1928,robert urich
1929,yuka kouri
1930,william atherton
1931,shelly cole
1932,richard attenborough
1933,natsuki hanae
1934,satomi hanamura
1935,shannon tweed
1936,italia ricci
1937,saoirsemonica jackson
1938,alicia coppola
1939,lucas black
1940,emilio sakraya
1941,kerem brsin
1942,victoria rowell
1943,tony shalhoub
1944,lauren lapkus
1945,yoo insoo
1946,amybeth mcnulty
1947,alan ruck
1948,guillermo daz
1949,ayanna misola
1950,chiemi chiba
1951,peta wilson
1952,huang xiaoming
1953,donna bullock
1954,esther liu
1955,sienna guillory
1956,alan rickman
1957,choi yeojin
1958,fiona shaw
1959,lee majors
1960,ayush ulagadde
1961,george mackay
1962,park gyuyoung
1963,paulo avelino
1964,chris elliott
1965,aleksandr demyanenko
1966,perry king
1967,emily procter
1968,rei akasaka
1969,jane fonda
1970,skandar keynes
1971,zhang ziyi
1972,jackie shroff
1973,yui horie
1974,aleisha allen
1975,mao inoue
1976,jennifer esposito
1977,chad donella
1978,rupert friend
1979,rebecca patricia armstrong
1980,mario lpez
1981,alex fong chungsun
1982,bradley freegard
1983,jeong hyeyoung
1984,lou diamond phillips
1985,sarah roemer
1986,chris cooper
1987,kevin spacey
1988,kim sungoh
1989,joseph mazzello
1990,erich anderson
1991,sergei bezrukov
1992,alyla browne
1993,sevda erginci
1994,leslie uggams
1995,bobby cannavale
1996,sumire uesaka
1997,steven berkoff
1998,marlon brando
1999,daniel daylewis
2000,sidney poitier
2001,humphrey bogart
2002,clark gable
2003,ingrid bergman
2004,elizabeth taylor
2005,gregory peck
2006,audrey hepburn
2007,cary grant
2008,vivien leigh
2009,laurence olivier
2010,steve mcqueen
2011,spencer tracy
2012,judy garland
2013,catherine deneuve
2014,grace kelly
2015,james cagney
2016,greta garbo
2017,olivia de havilland
2018,charles chaplin
2019,setsuko hara
2020,montgomery clift
2021,isabelle huppert
2022,rita hayworth
2023,james dean
2024,kirk douglas
2025,natalie wood
2026,marcello mastroianni
2027,joan crawford
2028,gene kelly
2029,joan fontaine
2030,sophia loren
2031,marilyn monroe
2032,bruce lee
2033,charlton heston
2034,gary cooper
2035,liv ullmann
2036,forest whitaker
2037,deborah kerr
2038,peter otoole
2039,salma hayek
2040,don cheadle
2041,frances mcdormand
2042,kathy bates
2043,omar sharif
2044,mohanlal
2045,jack lemmon
2046,george c scott
2047,philip seymour hoffman
2048,grard depardieu
2049,christopher plummer
2050,meg ryan
2051,michael douglas
2052,ava gardner
2053,doris day
2054,shirley maclaine
2055,holly hunter
2056,hilary swank
2057,chiwetel ejiofor
2058,claudette colbert
2059,gloria swanson
2060,lauren bacall
2061,norma shearer
2062,bette midler
2063,mary tyler moore
2064,anna magnani
2065,judi dench
2066,glenda jackson
2067,donna reed
2068,liza minnelli
2069,peter sellers
2070,christoph waltz
2071,alec guinness
2072,richard burton
2073,kathleen turner
2074,rene russo
2075,maggie smith
2076,barbra streisand
2077,joanne woodward
2078,mercedes mccambridge
2079,anjelica huston
2080,dianne wiest
2081,goldie hawn
2082,claudia cardinale
2083,gwyneth paltrow
2084,debra winger
2085,juliette binoche
2086,shirley booth
2087,benicio del toro
2088,burt lancaster
2089,robert mitchum
2090,william holden
2091,edward g robinson
2092,william powell
2093,jared leto
2094,errol flynn
2095,groucho marx
2096,james mason
2097,orson welles
2098,fred astaire
2099,paul giamatti
2100,carol burnett
2101,jessica tandy
2102,patricia arquette
2103,carmen miranda
2104,debbie reynolds
2105,ellen burstyn
2106,maureen ohara
2107,myrna loy
2108,marlene dietrich
2109,carole lombard
2110,jean arthur
2111,woody allen
2112,jean harlow
2113,ginger rogers
2114,mary pickford
2115,mae west
2116,alan arkin
2117,colin firth
2118,roberto benigni
2119,f murray abraham
2120,peter finch
2121,art carney
2122,cliff robertson
2123,lee marvin
2124,rex harrison
2125,maximilian schell
2126,david niven
2127,william hurt
2128,yul brynner
2129,rod steiger
2130,alexis thorpe
2131,marion davies
2132,fairuza balk
2133,julie walters
2134,rooney mara
2135,jos ferrer
2136,broderick crawford
2137,ronald colman
2138,fredric march
2139,ray milland
2140,bing crosby
2141,paul lukas
2142,robert donat
2143,paul muni
2144,victor mclaglen
2145,charles laughton
2146,wallace beery
2147,lionel barrymore
2148,warner baxter
2149,emil jannings
2150,cuba gooding jr
2151,martin landau
2152,jack palance
2153,kevin kline
2154,don ameche
2155,betty white
2156,geraldine page
2157,jennifer jones
2158,shirley temple
2159,julia louisdreyfus
2160,cher
2161,sissy spacek
2162,louise fletcher
2163,patricia neal
2164,haing s ngor
2165,louis gossett jr
2166,john gielgud
2167,timothy hutton
2168,melvyn douglas
2169,jason robards
2170,george burns
2171,ben johnson
2172,john mills
2173,jack albertson
2174,george kennedy
2175,walter matthau
2176,martin balsam
2177,peter ustinov
2178,ed begley
2179,george chakiris
2180,hugh griffith
2181,burl ives
2182,red buttons
2183,edmond obrien
2184,frank sinatra
2185,anne bancroft
2186,kim novak
2187,simone signoret
2188,angela lansbury
2189,judy holliday
2190,loretta young
2191,shirley jones
2192,helen hayes
2193,marie dressler
2194,janet gaynor
2195,octavia spencer
2196,melissa leo
2197,monique
2198,marlee matlin
2199,jennifer hudson
2200,rene zellweger
2201,marcia gay harden
2202,mercedes ruehl
2203,brenda fricker
2204,george sanders
2205,dean jagger
2206,walter huston
2207,edmund gwenn
2208,harold russell
2209,hugh grant
2210,barry fitzgerald
2211,charles coburn
2212,van heflin
2213,donald crisp
2214,thomas mitchell
2215,walter brennan
2216,joseph schildkraut
2217,olympia dukakis
2218,peggy ashcroft
2219,linda hunt
2220,maureen stapleton
2221,mary steenburgen
2222,beatrice straight
2223,vanessa redgrave
2224,lee grant
2225,eileen heckart
2226,cloris leachman
2227,ruth gordon
2228,estelle parsons
2229,sandy dennis
2230,shelley winters
2231,patty duke
2232,rita moreno
2233,wendy hiller
2234,miyoshi umeki
2235,dorothy malone
2236,jo van fleet
2237,eva marie saint
2238,gloria grahame
2239,kim hunter
2240,lee j cobb
2241,john cazale
2242,jean dujardin
2243,jason segel
2244,dick van dyke
2245,tyler perry
2246,gene wilder
2247,thora birch
2248,claire trevor
2249,celeste holm
2250,anne baxter
2251,ethel barrymore
2252,teresa wright
2253,mary astor
2254,jane darwell
2255,mia wasikowska
2256,gale sondergaard
2257,tina fey
2258,adrianne palicki
2259,june squibb
2260,edward norton
2261,frank langella
2262,david strathairn
2263,terrence howard
2264,tom wilkinson
2265,richard farnsworth
2266,rebel wilson
2267,ida lupino
2268,brittany snow
2269,julianne hough
2270,lily collins
2271,maggie grace
2272,peter fonda
2273,nigel hawthorne
2274,stephen rea
2275,richard harris
2276,max von sydow
2277,bob hoskins
2278,john hawkes
2279,sam waterston
2280,tom hulce
2281,albert finney
2282,tom conti
2283,tom courtenay
2284,dudley moore
2285,priyanka chopra jonas
2286,emmanuelle riva
2287,jessica lucas
2288,maria falconetti
2289,greer garson
2290,rosalind russell
2291,raquel welch
2292,linda fiorentino
2293,gabourey sidibe
2294,judy davis
2295,mia farrow
2296,audrey tautou
2297,jeanne moreau
2298,jane wyman
2299,gena rowlands
2300,lesley manville
2301,whitney houston
2302,felicity huffman
2303,imelda staunton
2304,jon heder
2305,daniel brhl
2306,james gandolfini
2307,anthony perkins
2308,klaus kinski
2309,ray winstone
2310,jeanpaul belmondo
2311,matthew broderick
2312,dennis hopper
2313,vincent gallo
2314,boris karloff
2315,peter lorre
2316,ryan phillippe
2317,kerry washington
2318,carrieanne moss
2319,janet leigh
2320,catalina sandino moreno
2321,keisha castlehughes
2322,barbara stanwyck
2323,joan allen
2324,janet mcteer
2325,fernanda montenegro
2326,kristin scott thomas
2327,elisabeth shue
2328,miranda richardson
2329,stockard channing
2330,luise rainer
2331,lucille ball
2332,pauline collins
2333,sally kirkland
2334,jane alexander
2335,marsha mason
2336,michael j fox
2337,chow yunfat
2338,seth macfarlane
2339,john houseman
2340,chuck norris
2341,sam rockwell
2342,takashi shimura
2343,richard e grant
2344,john malkovich
2345,christopher guest
2346,jackie earle haley
2347,gig young
2348,romain duris
2349,jacki weaver
2350,kathleen quinlan
2351,taraji p henson
2352,ruby dee
2353,jill clayburgh
2354,adriana barraza
2355,rinko kikuchi
2356,sophie okonedo
2357,patricia clarkson
2358,lynn redgrave
2359,rachel griffiths
2360,lili taylor
2361,robin weigert
2362,lake bell
2363,claude rains
2364,john rhysdavies
2365,jeanlouis trintignant
2366,joseph cotten
2367,barry pepper
2368,erich von stroheim
2369,ben foster
2370,joel mccrea
2371,gael garca bernal
2372,bruno ganz
2373,irrfan khan
2374,roy scheider
2375,gary busey
2376,norman reedus
2377,jeff daniels
2378,carrie fisher
2379,pam grier
2380,bjrk
2381,juliette lewis
2382,sarah jessica parker
2383,piper laurie
2384,miley cyrus
2385,lily tomlin
2386,jane seymour
2387,gloria stuart
2388,talia shire
2389,sue lyon
2390,olivia newtonjohn
2391,teri garr
2392,jean seberg
2393,sarah polley
2394,hal holbrook
2395,alan alda
2396,thomas haden church
2397,suraj sharma
2398,john c reilly
2399,michael clarke duncan
2400,greg kinnear
2401,burt reynolds
2402,robert forster
2403,jason schwartzman
2404,armin muellerstahl
2405,chazz palminteri
2406,gary sinise
2407,paul scofield
2408,pete postlethwaite
2409,jada pinkett smith
2410,tatum oneal
2411,hattie mcdaniel
2412,leslie mann
2413,mindy kaling
2414,thandiwe newton
2415,amy poehler
2416,julia stiles
2417,christina applegate
2418,nia long
2419,nick frost
2420,chris rock
2421,neil patrick harris
2422,charlie sheen
2423,mark rylance
2424,andy garcia
2425,michael lerner
2426,graham greene
2427,bruce davison
2428,dan aykroyd
2429,danny aiello
2430,river phoenix
2431,dean stockwell
2432,billy crystal
2433,mike myers
2434,susan hayward
2435,sarah michelle gellar
2436,sandra oh
2437,margot kidder
2438,beyonc
2439,parker posey
2440,allison janney
2441,evan rachel wood
2442,ziyi zhang
2443,amanda bynes
2444,brit marling
2445,cynthia erivo
2446,mandy moore
2447,brian cox
2448,billy burke
2449,charles bronson
2450,jonathan pryce
2451,mel brooks
2452,mahershala ali
2453,josh duhamel
2454,freida pinto
2455,hilary duff
2456,andrea riseborough
2457,molly ringwald
2458,january jones
2459,maya rudolph
2460,franka potente
2461,claire foy
2462,lillian gish
2463,olivia colman
2464,mireille enos
2465,jennifer love hewitt
2466,ginnifer goodwin
2467,christine taylor
2468,nathan lane
2469,steve coogan
2470,sacha baron cohen
2471,brendan fraser
2472,ice cube
2473,liev schreiber
2474,russell brand
2475,craig t nelson
2476,bernie mac
2477,seth green
2478,randy quaid
2479,david oyelowo
2480,rob schneider
2481,jay baruchel
2482,paul bettany
2483,john candy
2484,chris odonnell
2485,common
2486,albert brooks
2487,macaulay culkin
2488,taron egerton
2489,elvis presley
2490,jonah hill
2491,sung kang
2492,billy crudup
2493,john barrymore
2494,peter sarsgaard
2495,bill hader
2496,rob lowe
2497,mel blanc
2498,david spade
2499,richard jenkins
2500,emilio estevez
2501,michael ealy
2502,jamie bell
2503,troy baker
2504,danny mcbride
2505,jonathan rhys meyers
2506,craig robinson
2507,charlie day
2508,garrett hedlund
2509,christopher reeve
2510,adam driver
2511,ned beatty
2512,john cleese
2513,jerry lewis
2514,paul mescal
