Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000134,2014-03-09,2014-03-09,,"Robert De Niro","Cape Fear","August 17, 1943"
2,nm0000197,2014-03-09,2015-10-25,,"Jack Nicholson","Chinatown","April 22, 1937"
3,nm0000008,2014-03-09,2014-03-09,,"Marlon Brando","Apocalypse Now","April 3, 1924"
4,nm0000243,2014-03-09,2014-03-09,,"Denzel Washington","Fences","December 28, 1954"
5,nm0000658,2014-03-09,2014-03-09,,"Meryl Streep","Out of Africa","June 22, 1949"
6,nm0000031,2014-03-09,2014-03-09,,"Katharine Hepburn","The Philadelphia Story","May 12, 1907"
7,nm0000358,2014-03-09,2014-03-09,,"Daniel Day-Lewis","There Will Be Blood","April 29, 1957"
8,nm0001627,2014-03-09,2014-03-09,,"Sidney Poitier","In the Heat of the Night","February 20, 1927"
9,nm0000007,2015-08-13,2015-08-13,,"Humphrey Bogart","Casablanca","December 25, 1899"
10,nm0000022,2015-08-13,2015-08-13,,"Clark Gable","It Happened One Night","February 1, 1901"
11,nm0000006,2014-03-09,2014-03-09,,"Ingrid Bergman","Casablanca","August 29, 1915"
12,nm0000138,2014-03-09,2014-03-09,,"Leonardo DiCaprio","Inception","November 11, 1974"
13,nm0000056,2014-03-09,2014-03-09,,"Paul Newman","The Hustler","January 26, 1925"
14,nm0000072,2014-03-09,2014-03-09,,"Elizabeth Taylor","Who's Afraid of Virginia Woolf?","February 27, 1932"
15,nm0000012,2014-03-09,2014-03-09,,"Bette Davis","All About Eve","April 5, 1908"
16,nm0000071,2014-08-31,2014-08-31,,"James Stewart","Vertigo","May 20, 1908"
17,nm0000060,2015-04-03,2015-04-03,,"Gregory Peck","To Kill a Mockingbird","April 5, 1916"
18,nm0000199,2014-03-09,2014-03-09,,"Al Pacino","Serpico","April 25, 1940"
19,nm0000158,2014-03-09,2014-03-09,,"Tom Hanks","Cast Away","July 9, 1956"
20,nm0000949,2014-03-09,2014-03-09,,"Cate Blanchett","Carol","May 14, 1969"
21,nm0000030,2014-03-09,2014-03-09,,"Audrey Hepburn","Breakfast at Tiffany's","May 4, 1929"
22,nm0000701,2014-03-09,2014-03-09,,"Kate Winslet","Eternal Sunshine of the Spotless Mind","October 5, 1975"
23,nm0205626,2014-03-10,2014-03-10,,"Viola Davis","Fences","August 11, 1965"
24,nm0000026,2014-03-09,2014-03-09,,"Cary Grant","Arsenic and Old Lace","January 18, 1904"
25,nm0000151,2015-08-13,2015-08-13,,"Morgan Freeman","Driving Miss Daisy","June 1, 1937"
26,nm0000046,2014-03-09,2014-03-09,,"Vivien Leigh","A Streetcar Named Desire","November 5, 1913"
27,nm0000059,2014-03-09,2014-03-09,,"Laurence Olivier","Rebecca","May 22, 1907"
28,nm0000537,2015-08-13,2015-08-13,,"Steve McQueen","The Great Escape","March 24, 1930"
29,nm0000473,2014-03-09,2014-03-09,,"Diane Keaton","Annie Hall","January 5, 1946"
30,nm0000075,2014-03-09,2014-03-09,,"Spencer Tracy","Guess Who's Coming to Dinner","April 5, 1900"
31,nm0451321,2014-03-10,2014-03-10,,"Shah Rukh Khan","Don 2","November 2, 1965"
32,nm0000210,2014-03-09,2014-03-09,,"Julia Roberts","Pretty Woman","October 28, 1967"
33,nm0000149,2014-03-09,2014-03-09,,"Jodie Foster","The Silence of the Lambs","November 19, 1962"
34,nm0000023,2014-03-09,2014-03-09,,"Judy Garland","The Wizard of Oz","June 10, 1922"
35,nm0000020,2014-03-09,2014-03-09,,"Henry Fonda","12 Angry Men","May 16, 1905"
36,nm0000366,2014-03-10,2014-03-10,,"Catherine Deneuve","8 femmes","October 22, 1943"
37,nm0000038,2015-08-13,2015-08-13,,"Grace Kelly","Dial M for Murder","November 12, 1929"
38,nm0000545,2014-03-09,2014-03-09,,"Helen Mirren","The Queen","July 26, 1945"
39,nm0000164,2014-03-09,2014-03-09,,"Anthony Hopkins","The Silence of the Lambs","December 31, 1937"
40,nm0000010,2014-03-09,2014-03-09,,"James Cagney","Angels with Dirty Faces","July 17, 1899"
41,nm0000291,2014-03-10,2014-03-10,,"Angela Bassett","Strange Days","August 16, 1958"
42,nm0000136,2014-03-09,2014-03-09,,"Johnny Depp","Sweeney Todd: The Demon Barber of Fleet Street","June 9, 1963"
43,nm0001256,2014-03-09,2014-03-09,,"Greta Garbo","Ninotchka","September 18, 1905"
44,nm0000014,2014-03-09,2014-03-09,,"Olivia de Havilland","Gone with the Wind","July 1, 1916"
45,nm0000122,2014-03-09,2014-03-09,,"Charles Chaplin","The Great Dictator","April 16, 1889"
46,nm0361697,2014-03-10,2014-03-10,,"Setsuko Hara","Banshun","June 17, 1920"
47,nm0000267,2014-03-09,2014-03-09,,"Julie Andrews","The Sound of Music","October 1, 1935"
48,nm0001050,2014-03-10,2014-03-10,,"Montgomery Clift","A Place in the Sun","October 17, 1920"
49,nm0001376,2014-03-10,2014-03-10,,"Isabelle Huppert","Elle","March 16, 1953"
50,nm0000028,2014-03-09,2014-03-09,,"Rita Hayworth","Gilda","October 17, 1918"
51,nm0000932,2014-03-09,2014-03-09,,"Halle Berry","Catwoman","August 14, 1966"
52,nm0000015,2014-03-09,2014-03-09,,"James Dean","East of Eden","February 8, 1931"
53,nm0000018,2014-03-09,2014-03-09,,"Kirk Douglas","Ace in the Hole","December 9, 1916"
54,nm0000081,2014-03-09,2014-03-09,,"Natalie Wood","Rebel Without a Cause","July 20, 1938"
55,nm0000052,2014-03-10,2014-03-10,,"Marcello Mastroianni","La dolce vita","September 26, 1924"
56,nm0001076,2014-03-09,2014-03-09,,"Joan Crawford","Mildred Pierce","March 23, 1907"
57,nm0000148,2015-08-13,2015-08-13,,"Harrison Ford","Raiders of the Lost Ark","July 13, 1942"
58,nm0000215,2014-03-09,2014-03-09,,"Susan Sarandon","Thelma & Louise","October 4, 1946"
59,nm0000037,2014-03-09,2014-03-09,,"Gene Kelly","Singin' in the Rain","August 23, 1912"
60,nm0000335,2014-03-09,2014-03-09,,"Glenn Close","Fatal Attraction","March 19, 1947"
61,nm0000021,2014-03-09,2014-03-09,,"Joan Fontaine","Rebecca","October 22, 1917"
62,nm0000194,2014-03-09,2014-03-09,,"Julianne Moore","Far from Heaven","December 3, 1960"
63,nm0000226,2014-03-09,2014-03-09,,"Will Smith","The Fresh Prince of Bel-Air","September 25, 1968"
64,nm0000047,2014-03-09,2014-03-09,,"Sophia Loren","Arabesque","September 20, 1934"
65,nm0000054,2014-03-09,2014-03-09,,"Marilyn Monroe","Some Like It Hot","June 1, 1926"
66,nm0000045,2014-03-10,2014-03-10,,"Bruce Lee","Jing wu men","November 27, 1940"
67,nm0005093,2019-11-09,2019-11-09,,"Regina King","Ray","January 15, 1971"
68,nm0001401,2014-03-09,2014-03-09,,"Angelina Jolie","Maleficent","June 4, 1975"
69,nm0000078,2014-03-09,2014-03-09,,"John Wayne","True Grit","May 26, 1907"
70,nm0000404,2014-03-09,2014-03-09,,"Jane Fonda","Klute","December 21, 1937"
71,nm0000032,2015-08-13,2015-08-13,,"Charlton Heston","Ben-Hur","October 4, 1923"
72,nm0000011,2014-03-09,2014-03-09,,"Gary Cooper","High Noon","May 7, 1901"
73,nm0880521,2014-03-10,2014-03-10,,"Liv Ullmann","Viskningar och rop","December 16, 1938"
74,nm0000204,2014-03-09,2014-03-09,,"Natalie Portman","Black Swan","June 9, 1981"
75,nm0001845,2014-03-09,2014-03-09,,"Forest Whitaker","The Last King of Scotland","July 15, 1961"
76,nm0000113,2014-03-09,2014-03-09,,"Sandra Bullock","The Proposal","July 26, 1964"
77,nm0000039,2014-03-09,2014-03-09,,"Deborah Kerr","The King and I","September 30, 1921"
78,nm0001536,2014-03-10,2014-03-10,,"Toshirô Mifune","Yôjinbô","April 1, 1920"
79,nm0000163,2014-03-09,2014-03-09,,"Dustin Hoffman","Tootsie","August 8, 1937"
80,nm0000668,2014-03-09,2014-03-09,,"Emma Thompson","Sense and Sensibility","April 15, 1959"
81,nm0000129,2014-03-09,2014-03-09,,"Tom Cruise","Top Gun","July 3, 1962"
82,nm0000201,2014-03-09,2014-03-09,,"Michelle Pfeiffer","The Fabulous Baker Boys","April 29, 1958"
83,nm0001159,2014-03-09,2014-03-09,,"Faye Dunaway","Network","January 14, 1941"
84,nm0000168,2014-03-09,2014-03-09,,"Samuel L. Jackson","Pulp Fiction","December 21, 1948"
85,nm0000564,2014-03-09,2014-03-09,,"Peter O'Toole","Lawrence of Arabia","August 2, 1932"
86,nm0005132,2014-03-09,2014-03-09,,"Heath Ledger","Brokeback Mountain","April 4, 1979"
87,nm0000173,2014-03-09,2014-03-09,,"Nicole Kidman","Moulin Rouge!","June 20, 1967"
88,nm0004851,2014-03-10,2014-03-10,,"Penélope Cruz","Vicky Cristina Barcelona","April 28, 1974"
89,nm1569276,2019-03-18,2019-03-18,,"Chadwick Boseman","Black Panther","November 29, 1976"
90,nm0000104,2014-03-10,2014-03-10,,"Antonio Banderas","The Mask of Zorro","August 10, 1960"
91,nm0000244,2014-03-09,2014-03-09,,"Sigourney Weaver","Alien: Resurrection","October 8, 1949"
92,nm0000161,2014-03-10,2014-03-10,,"Salma Hayek","Frida","September 2, 1966"
93,nm0000332,2014-03-10,2014-03-10,,"Don Cheadle","Crash","November 29, 1964"
94,nm0000531,2014-03-09,2014-03-09,,"Frances McDormand","Fargo","June 23, 1957"
95,nm0000870,2014-03-09,2014-03-09,,"Kathy Bates","Misery","June 28, 1948"
96,nm0001725,2019-04-12,2019-04-12,,"Omar Sharif","Lawrence of Arabia","April 10, 1932"
97,nm0010736,2014-03-09,2014-03-09,,"Amy Adams","Arrival","August 20, 1974"
98,nm0001618,2014-03-09,2014-03-09,,"Joaquin Phoenix","Walk the Line","October 28, 1974"
99,nm0482320,2019-04-12,2019-04-12,,"Mohanlal","Dasharatham","May 21, 1960"
100,nm0000093,2014-03-09,2014-03-09,,"Brad Pitt","Fight Club","December 18, 1963"
101,nm0000313,2014-03-09,2014-03-09,,"Jeff Bridges","The Big Lebowski","December 4, 1949"
102,nm0000125,2014-03-09,2014-03-09,,"Sean Connery","Dr. No","August 25, 1930"
103,nm0001426,2014-03-09,2014-03-09,,"Ben Kingsley","Sexy Beast","December 31, 1943"
104,nm0000169,2014-03-09,2014-03-09,,"Tommy Lee Jones","The Homesman","September 15, 1946"
105,nm0000602,2014-03-09,2014-03-09,,"Robert Redford","The Natural","August 18, 1936"
106,nm0000493,2015-08-13,2015-08-13,,"Jack Lemmon","The Apartment","February 8, 1925"
107,nm0001715,2014-03-09,2014-03-09,,"George C. Scott","Patton","October 18, 1927"
108,nm0000245,2014-03-09,2014-03-09,,"Robin Williams","Mrs. Doubtfire","July 21, 1951"
109,nm0000450,2015-04-03,2015-04-03,,"Philip Seymour Hoffman","The Master","July 23, 1967"
110,nm0000123,2014-03-09,2014-03-09,,"George Clooney","The Ides of March","May 6, 1961"
111,nm0000432,2014-03-09,2014-03-09,,"Gene Hackman","The French Connection","January 30, 1930"
112,nm0000115,2014-03-09,2014-03-09,,"Nicolas Cage","Face/Off","January 7, 1964"
113,nm0000686,2014-03-09,2014-03-09,,"Christopher Walken","The Deer Hunter","March 31, 1943"
114,nm0004266,2015-08-13,2015-08-13,,"Anne Hathaway","Les Misérables","November 12, 1982"
115,nm0000367,2014-03-10,2014-03-10,,"Gérard Depardieu","Cyrano de Bergerac","December 27, 1948"
116,nm0001626,2014-03-09,2014-03-09,,"Christopher Plummer","Beginners","December 13, 1929"
117,nm0000246,2014-03-09,2014-03-09,,"Bruce Willis","Die Hard","March 19, 1955"
118,nm0005212,2014-03-09,2014-03-09,,"Ian McKellen","The Lord of the Rings: The Fellowship of the Ring","May 25, 1939"
119,nm0000128,2019-04-12,2019-04-12,,"Russell Crowe","Les Misérables","April 7, 1964"
120,nm0000195,2014-03-09,2014-03-09,,"Bill Murray","Lost in Translation","September 21, 1950"
121,nm0000906,2014-03-09,2014-03-09,,"Annette Bening","American Beauty","May 29, 1958"
122,nm0000582,2014-03-09,2014-03-09,,"Joe Pesci","GoodFellas","February 9, 1943"
123,nm0000126,2014-03-09,2014-03-09,,"Kevin Costner","The Postman","January 18, 1955"
124,nm0000212,2014-03-09,2014-03-09,,"Meg Ryan","When Harry Met Sally...","November 19, 1961"
125,nm0000661,2015-08-13,2015-08-13,,"Donald Sutherland","The Hunger Games: Catching Fire","July 17, 1935"
126,nm0000142,2014-03-09,2014-03-09,,"Clint Eastwood","Million Dollar Baby","May 31, 1930"
127,nm0000140,2014-03-09,2014-03-09,,"Michael Douglas","Behind the Candelabra","September 25, 1944"
128,nm0000375,2015-08-13,2015-08-13,,"Robert Downey Jr.","Iron Man","April 4, 1965"
129,nm0001257,2014-03-09,2014-03-09,,"Ava Gardner","The Night of the Iguana","December 24, 1922"
130,nm0000398,2014-03-09,2014-03-09,,"Sally Field","Lincoln","November 6, 1946"
131,nm0000013,2014-03-09,2014-03-09,,"Doris Day","Love Me or Leave Me","April 3, 1922"
132,nm0000511,2014-03-09,2014-03-09,,"Shirley MacLaine","Terms of Endearment","April 24, 1934"
133,nm0000456,2014-03-09,2014-03-09,,"Holly Hunter","Broadcast News","March 20, 1958"
134,nm0000353,2014-03-09,2014-03-09,,"Willem Dafoe","Spider-Man","July 22, 1955"
135,nm0005476,2014-03-09,2014-03-09,,"Hilary Swank","Million Dollar Baby","July 30, 1974"
136,nm0252230,2015-04-03,2015-04-03,,"Chiwetel Ejiofor","12 Years a Slave","July 10, 1977"
137,nm0001055,2014-03-09,2014-03-09,,"Claudette Colbert","It Happened One Night","September 13, 1903"
138,nm0000178,2014-03-09,2014-03-09,,"Diane Lane","Unfaithful","January 22, 1965"
139,nm0001448,2014-03-09,2014-03-09,,"Jessica Lange","Tootsie","April 20, 1949"
140,nm0841797,2014-03-09,2014-03-09,,"Gloria Swanson","Sunset Blvd.","March 27, 1899"
141,nm0000323,2014-03-09,2014-03-09,,"Michael Caine","Youth","March 14, 1933"
142,nm0000002,2014-03-09,2014-03-09,,"Lauren Bacall","To Have and Have Not","September 16, 1924"
143,nm0790454,2014-03-09,2014-03-09,,"Norma Shearer","The Divorcee","August 10, 1902"
144,nm0000541,2014-03-09,2014-03-09,,"Bette Midler","Beaches","December 1, 1945"
145,nm0001546,2014-03-09,2014-03-09,,"Mary Tyler Moore","Ordinary People","December 29, 1936"
146,nm0536167,2014-03-09,2014-03-09,,"Anna Magnani","Roma città aperta","March 7, 1908"
147,nm0001132,2014-03-09,2014-03-09,,"Judi Dench","Skyfall","December 9, 1934"
148,nm0000232,2014-03-09,2014-03-09,,"Sharon Stone","Basic Instinct","March 10, 1958"
149,nm0000107,2014-03-09,2014-03-09,,"Kim Basinger","L.A. Confidential","December 8, 1953"
150,nm3154303,2024-12-18,2024-12-18,,"Timothée Chalamet","A Complete Unknown","December 27, 1995"
151,nm0413559,2014-03-09,2014-03-09,,"Glenda Jackson","Women in Love","May 9, 1936"
152,nm0001656,2014-03-09,2014-03-09,,"Donna Reed","It's a Wonderful Life","January 27, 1921"
153,nm0000193,2014-03-09,2014-03-09,,"Demi Moore","G.I. Jane","November 11, 1962"
154,nm0591485,2014-03-09,2014-03-09,,"Liza Minnelli","Cabaret","March 12, 1946"
155,nm0000133,2014-03-09,2014-03-09,,"Geena Davis","Thelma & Louise","January 21, 1956"
156,nm0000634,2014-03-09,2014-03-09,,"Peter Sellers","Being There","September 8, 1925"
157,nm0000154,2014-03-09,2014-03-09,,"Mel Gibson","Braveheart","January 3, 1956"
158,nm0000120,2014-03-09,2014-03-09,,"Jim Carrey","Ace Ventura: Pet Detective","January 17, 1962"
159,nm0000242,2014-03-09,2014-03-09,,"Mark Wahlberg","The Fighter","June 5, 1971"
160,nm0000188,2014-03-09,2014-03-09,,"Steve Martin","Roxanne","August 14, 1945"
161,nm0000849,2014-03-09,2014-03-09,,"Javier Bardem","Skyfall","March 1, 1969"
162,nm0910607,2014-03-09,2014-03-09,,"Christoph Waltz","Inglourious Basterds","October 4, 1956"
163,nm0000209,2014-03-09,2014-03-09,,"Tim Robbins","Mystic River","October 16, 1958"
164,nm0000216,2014-03-09,2014-03-09,,"Arnold Schwarzenegger","Terminator 2: Judgment Day","July 30, 1947"
165,nm0000230,2014-03-09,2014-03-09,,"Sylvester Stallone","Rocky","July 6, 1946"
166,nm0001557,2014-03-09,2014-03-09,,"Viggo Mortensen","Captain Fantastic","October 20, 1958"
167,nm0000489,2014-03-09,2014-03-09,,"Christopher Lee","Star Wars: Episode II - Attack of the Clones","May 27, 1922"
168,nm0001691,2014-03-09,2014-03-09,,"Geoffrey Rush","The King's Speech","July 6, 1951"
169,nm0000027,2014-03-09,2014-03-09,,"Alec Guinness","Star Wars","April 2, 1914"
170,nm0000009,2014-03-09,2014-03-09,,"Richard Burton","Who's Afraid of Virginia Woolf?","November 10, 1925"
171,nm0005154,2014-03-10,2014-03-10,,"Lucy Liu","Kill Bill: Vol. 1","December 2, 1968"
172,nm0000285,2014-03-09,2014-03-09,,"Alec Baldwin","The Departed","April 3, 1958"
173,nm0001001,2014-03-09,2014-03-09,,"James Caan","Thief","March 26, 1940"
174,nm0586568,2016-06-18,2016-06-18,,"Mads Mikkelsen","Hannibal","November 22, 1965"
175,nm0001774,2014-03-09,2014-03-09,,"Ben Stiller","Zoolander","November 30, 1965"
176,nm0000438,2014-03-09,2014-03-09,,"Ed Harris","Appaloosa","November 28, 1950"
177,nm0000172,2014-03-09,2014-03-09,,"Harvey Keitel","Reservoir Dogs","May 13, 1939"
178,nm0000685,2014-03-09,2014-03-09,,"Jon Voight","Midnight Cowboy","December 29, 1938"
179,nm0000106,2014-03-09,2014-03-09,,"Drew Barrymore","Charlie's Angels","February 22, 1975"
180,nm0000213,2014-03-09,2014-03-09,,"Winona Ryder","Alien: Resurrection","October 29, 1971"
181,nm0000678,2014-03-09,2014-03-09,,"Kathleen Turner","Romancing the Stone","June 19, 1954"
182,nm0000235,2014-03-09,2014-03-09,,"Uma Thurman","Kill Bill: Vol. 1","April 29, 1970"
183,nm0000623,2014-03-09,2014-03-09,,"Rene Russo","Nightcrawler","February 17, 1954"
184,nm0000155,2014-03-09,2014-03-09,,"Whoopi Goldberg","Ghost","November 13, 1955"
185,nm0001749,2015-08-13,2015-08-13,,"Maggie Smith","Gosford Park","December 28, 1934"
186,nm0000659,2014-03-09,2014-03-09,,"Barbra Streisand","Funny Girl","April 24, 1942"
187,nm2225369,2014-03-09,2014-03-09,,"Jennifer Lawrence","The Hunger Games","August 15, 1990"
188,nm0940946,2014-03-09,2014-03-09,,"Joanne Woodward","Rachel, Rachel","February 27, 1930"
189,nm0564790,2014-03-09,2014-03-09,,"Mercedes McCambridge","Giant","March 16, 1916"
190,nm0001378,2014-03-09,2014-03-09,,"Anjelica Huston","The Grifters","July 8, 1951"
191,nm0001848,2014-03-09,2014-03-09,,"Dianne Wiest","Bullets Over Broadway","March 28, 1946"
192,nm0000443,2014-03-09,2014-03-09,,"Goldie Hawn","Private Benjamin","November 21, 1945"
193,nm0001012,2014-03-09,2014-03-09,,"Claudia Cardinale","C'era una volta il West","April 15, 1938"
194,nm0000569,2014-03-09,2014-03-09,,"Gwyneth Paltrow","Shakespeare in Love","September 27, 1972"
195,nm0000234,2014-03-09,2014-03-09,,"Charlize Theron","Monster","August 7, 1975"
196,nm0000700,2014-03-09,2014-03-09,,"Debra Winger","Terms of Endearment","May 16, 1955"
197,nm0182839,2015-08-13,2015-08-13,,"Marion Cotillard","De rouille et d'os","September 30, 1975"
198,nm0000207,2014-03-09,2014-03-09,,"Christina Ricci","Buffalo '66","February 12, 1980"
199,nm0000300,2014-03-09,2014-03-09,,"Juliette Binoche","The English Patient","March 9, 1964"
200,nm0000435,2014-03-09,2014-03-09,,"Daryl Hannah","Wall Street","December 3, 1960"
201,nm0095804,2014-03-09,2014-03-09,,"Shirley Booth","Come Back, Little Sheba","August 30, 1898"
202,nm0000702,2014-03-09,2014-03-09,,"Reese Witherspoon","Wild","March 22, 1976"
203,nm0001125,2014-03-09,2014-03-09,,"Benicio Del Toro","Sicario","February 19, 1967"
204,nm0000102,2014-03-09,2014-03-09,,"Kevin Bacon","Footloose","July 8, 1958"
205,nm0000664,2014-03-09,2014-03-09,,"Patrick Swayze","Dirty Dancing","August 18, 1952"
206,nm0001057,2014-03-09,2014-03-09,,"Toni Collette","The Sixth Sense","November 1, 1972"
207,nm0000380,2015-04-03,2015-04-03,,"Robert Duvall","The Apostle","January 5, 1931"
208,nm0000044,2014-03-09,2014-03-09,,"Burt Lancaster","From Here to Eternity","November 2, 1913"
209,nm0000053,2014-03-09,2014-03-09,,"Robert Mitchum","Out of the Past","August 6, 1917"
210,nm0268199,2014-03-09,2014-03-09,,"Colin Farrell","The Lobster","May 31, 1976"
211,nm0000034,2014-03-09,2014-03-09,,"William Holden","Stalag 17","April 17, 1918"
212,nm0000064,2014-03-09,2014-03-09,,"Edward G. Robinson","Key Largo","December 12, 1893"
213,nm0001635,2014-03-09,2014-03-09,,"William Powell","The Thin Man","July 29, 1892"
214,nm0001467,2014-03-09,2014-03-09,,"Jared Leto","Dallas Buyers Club","December 26, 1971"
215,nm0001224,2014-03-09,2014-03-09,,"Errol Flynn","The Adventures of Robin Hood","June 20, 1909"
216,nm0000050,2014-03-09,2014-03-09,,"Groucho Marx","Horse Feathers","October 2, 1890"
217,nm0000051,2014-03-09,2014-03-09,,"James Mason","Lolita","May 15, 1909"
218,nm0000036,2014-03-09,2014-03-09,,"Buster Keaton","The General","October 4, 1895"
219,nm0000080,2014-03-09,2014-03-09,,"Orson Welles","Citizen Kane","May 6, 1915"
220,nm0000001,2014-03-09,2014-03-09,,"Fred Astaire","Funny Face","May 10, 1899"
221,nm0177896,2014-03-09,2014-03-09,,"Bradley Cooper","A Star Is Born","January 5, 1975"
222,nm0000198,2019-03-19,2019-03-19,,"Gary Oldman","Tinker Tailor Soldier Spy","March 21, 1958"
223,nm0000179,2014-03-09,2014-03-09,,"Jude Law","The Talented Mr. Ripley","December 29, 1972"
224,nm0316079,2014-03-09,2014-03-09,,"Paul Giamatti","Sideways","June 6, 1967"
225,nm0000553,2014-03-09,2014-03-09,,"Liam Neeson","Kinsey","June 7, 1952"
226,nm0000354,2019-04-12,2019-04-12,,"Matt Damon","Good Will Hunting","October 8, 1970"
227,nm1055413,2014-03-09,2014-03-09,,"Michael Fassbender","Shame","April 2, 1977"
228,nm0000993,2014-03-09,2014-03-09,,"Carol Burnett","The Carol Burnett Show","April 26, 1933"
229,nm0001788,2014-03-09,2014-03-09,,"Jessica Tandy","Driving Miss Daisy","June 7, 1909"
230,nm0000166,2014-03-09,2014-03-09,,"Helen Hunt","As Good as It Gets","June 15, 1963"
231,nm0000099,2015-03-08,2015-03-08,,"Patricia Arquette","True Romance","April 8, 1968"
232,nm0000544,2014-03-09,2014-03-09,,"Carmen Miranda","Greenwich Village","February 9, 1909"
233,nm0005028,2014-03-09,2014-03-09,,"Kate Hudson","Almost Famous","April 19, 1979"
234,nm0001876,2014-03-09,2014-03-09,,"Catherine Zeta-Jones","Chicago","September 25, 1969"
235,nm0000139,2014-03-09,2014-03-09,,"Cameron Diaz","Charlie's Angels","August 30, 1972"
236,nm0001666,2014-03-09,2014-03-09,,"Debbie Reynolds","Singin' in the Rain","April 1, 1932"
237,nm0000995,2014-03-09,2014-03-09,,"Ellen Burstyn","Requiem for a Dream","December 7, 1932"
238,nm0000058,2014-03-09,2014-03-09,,"Maureen O'Hara","The Quiet Man","August 17, 1920"
239,nm0001485,2014-03-09,2014-03-09,,"Myrna Loy","The Thin Man","August 2, 1905"
240,nm0372176,2014-03-09,2014-03-09,,"Lena Headey","300","October 3, 1973"
241,nm0001473,2014-03-09,2014-03-09,,"Laura Linney","The Big C","February 5, 1964"
242,nm0000017,2014-03-09,2014-03-09,,"Marlene Dietrich","Witness for the Prosecution","December 27, 1901"
243,nm0001479,2014-03-09,2014-03-09,,"Carole Lombard","My Man Godfrey","October 6, 1908"
244,nm0000795,2014-03-09,2014-03-09,,"Jean Arthur","Mr. Smith Goes to Washington","October 17, 1900"
245,nm0000095,2014-03-09,2014-03-09,,"Woody Allen","Annie Hall","November 30, 1935"
246,nm0001318,2014-03-09,2014-03-09,,"Jean Harlow","Red Dust","March 3, 1911"
247,nm0001677,2014-03-09,2014-03-09,,"Ginger Rogers","Kitty Foyle","July 16, 1911"
248,nm0681933,2014-03-09,2014-03-09,,"Mary Pickford","Coquette","April 8, 1892"
249,nm0922213,2014-03-09,2014-03-09,,"Mae West","She Done Him Wrong","August 17, 1893"
250,nm0000096,2014-03-09,2014-03-09,,"Gillian Anderson","The X Files","August 9, 1968"
251,nm0914612,2014-03-09,2014-03-09,,"Emma Watson","The Perks of Being a Wallflower","April 15, 1990"
