Position,Const,Created,Modified,Description,Name,Known For,Birth Date
252,nm0000273,2014-03-09,2014-03-09,,"Alan Arkin","Argo","March 26, 1934"
253,nm0000621,2014-03-10,2014-03-10,,"Kurt Russell","Escape from New York","March 17, 1951"
254,nm0350453,2014-03-10,2014-03-10,,"Jake Gyllenhaal","Nightcrawler","December 19, 1980"
255,nm0331516,2014-03-10,2014-03-10,,"Ryan Gosling","Blue Valentine","November 12, 1980"
256,nm0000147,2014-03-09,2014-03-09,,"Colin Firth","A Single Man","September 10, 1960"
257,nm0004937,2014-03-09,2014-03-09,,"Jamie Foxx","Collateral","December 13, 1967"
258,nm0004778,2014-03-09,2014-03-09,,"Adrien Brody","The Pianist","April 14, 1973"
259,nm0000905,2014-03-09,2014-03-09,,"Roberto Benigni","La vita è bella","October 27, 1952"
260,nm0000460,2014-03-09,2014-03-09,,"Jeremy Irons","Dead Ringers","September 19, 1948"
261,nm0000719,2014-03-09,2014-03-09,,"F. Murray Abraham","Amadeus","October 24, 1939"
262,nm0000377,2014-03-09,2014-03-09,,"Richard Dreyfuss","The Goodbye Girl","October 29, 1947"
263,nm0002075,2014-03-09,2014-03-09,,"Peter Finch","Network","September 28, 1916"
264,nm0138770,2014-03-09,2014-03-09,,"Art Carney","Harry and Tonto","November 4, 1918"
265,nm0731772,2014-03-09,2014-03-09,,"Cliff Robertson","Charly","September 9, 1923"
266,nm0001511,2014-03-09,2014-03-09,,"Lee Marvin","The Dirty Dozen","February 19, 1924"
267,nm0001322,2014-03-09,2014-03-09,,"Rex Harrison","My Fair Lady","March 5, 1908"
268,nm0000063,2014-03-10,2014-03-10,,"Anthony Quinn","Alexis Zorbas","April 21, 1915"
269,nm0001703,2014-03-09,2014-03-09,,"Maximilian Schell","Judgment at Nuremberg","December 8, 1930"
270,nm0362766,2014-03-09,2014-03-09,,"Tom Hardy","Inception","September 15, 1977"
271,nm0000057,2014-03-09,2014-03-09,,"David Niven","A Matter of Life and Death","March 1, 1910"
272,nm0000458,2014-03-09,2014-03-09,,"William Hurt","A History of Violence","March 20, 1950"
273,nm0000989,2014-03-09,2014-03-09,,"Yul Brynner","The King and I","July 11, 1920"
274,nm0000308,2014-03-09,2014-03-09,,"Ernest Borgnine","Marty","January 24, 1917"
275,nm1212722,2014-03-09,2014-03-09,,"Benedict Cumberbatch","The Imitation Game","July 19, 1976"
276,nm0001768,2014-03-09,2014-03-09,,"Rod Steiger","In the Heat of the Night","April 14, 1925"
277,nm1631269,2014-03-09,2014-03-09,,"Chloë Grace Moretz","Kick-Ass","February 10, 1997"
278,nm0447695,2014-03-09,2014-03-09,,"Anna Kendrick","Up in the Air","August 9, 1985"
279,nm0001833,2014-03-09,2014-03-09,,"Emily Watson","Breaking the Waves","January 14, 1967"
280,nm0000307,2014-03-09,2014-03-09,,"Helena Bonham Carter","Sweeney Todd: The Demon Barber of Fleet Street","May 26, 1966"
281,nm0461136,2014-03-09,2014-03-09,,"Keira Knightley","Pirates of the Caribbean: The Curse of the Black Pearl","March 26, 1985"
282,nm0005490,2014-03-09,2014-03-09,,"Alexis Thorpe","The Man from Earth","April 19, 1980"
283,nm0203836,2014-03-09,2014-03-09,,"Marion Davies","The Patsy","January 3, 1897"
284,nm0424060,2014-03-09,2014-03-09,,"Scarlett Johansson","Her","November 22, 1984"
285,nm0266824,2014-03-09,2014-03-09,,"Dakota Fanning","War of the Worlds","February 23, 1994"
286,nm0000098,2014-03-09,2014-03-09,,"Jennifer Aniston","Friends","February 11, 1969"
287,nm0000124,2014-03-09,2014-03-09,,"Jennifer Connelly","A Beautiful Mind","December 12, 1970"
288,nm1046097,2014-03-09,2014-03-09,,"Rachel McAdams","The Notebook","November 17, 1978"
289,nm1659547,2014-03-09,2014-03-09,,"Carey Mulligan","Shame","May 28, 1985"
290,nm0005109,2014-03-09,2014-03-09,,"Mila Kunis","Black Swan","August 14, 1983"
291,nm1086543,2014-03-09,2014-03-09,,"Amanda Seyfried","Les Misérables","December 3, 1985"
292,nm0000182,2014-03-09,2014-03-09,,"Jennifer Lopez","Hustlers","July 24, 1969"
293,nm0000117,2014-03-09,2014-03-09,,"Neve Campbell","Scream","October 3, 1973"
294,nm0000103,2014-03-09,2014-03-09,,"Fairuza Balk","The Craft","May 21, 1974"
295,nm0004695,2014-03-09,2014-03-09,,"Jessica Alba","Fantastic Four","April 28, 1981"
296,nm0829576,2014-03-09,2014-03-09,,"Kristen Stewart","The Twilight Saga: Eclipse","April 9, 1990"
297,nm0910278,2014-03-09,2014-03-09,,"Julie Walters","Billy Elliot","February 22, 1950"
298,nm1913734,2014-03-09,2014-03-09,,"Rooney Mara","Carol","April 17, 1985"
299,nm0000130,2014-03-09,2014-03-09,,"Jamie Lee Curtis","True Lies","November 22, 1958"
300,nm1297015,2014-03-09,2014-03-09,,"Emma Stone","La La Land","November 6, 1988"
301,nm0000379,2014-03-09,2014-03-09,,"Kirsten Dunst","Spider-Man","April 30, 1982"
302,nm0001207,2014-03-09,2014-03-09,,"José Ferrer","The Caine Mutiny","January 8, 1912"
303,nm0002024,2014-03-09,2014-03-09,,"Broderick Crawford","All the King's Men","December 9, 1911"
304,nm0172903,2014-03-09,2014-03-09,,"Ronald Colman","Lost Horizon","February 9, 1891"
305,nm0545298,2014-03-09,2014-03-09,,"Fredric March","The Best Years of Our Lives","August 31, 1897"
306,nm0001537,2014-03-09,2014-03-09,,"Ray Milland","The Lost Weekend","January 3, 1907"
307,nm0001078,2014-03-09,2014-03-09,,"Bing Crosby","White Christmas","May 2, 1903"
308,nm0510134,2014-03-09,2014-03-09,,"Paul Lukas","20,000 Leagues Under the Sea","May 26, 1895"
309,nm0232196,2014-03-09,2014-03-09,,"Robert Donat","The 39 Steps","March 18, 1905"
310,nm0612847,2014-03-09,2014-03-09,,"Paul Muni","Scarface","September 22, 1895"
311,nm0572142,2014-03-09,2014-03-09,,"Victor McLaglen","The Quiet Man","December 10, 1886"
312,nm0001452,2014-03-09,2014-03-09,,"Charles Laughton","Mutiny on the Bounty","July 1, 1899"
313,nm0000891,2014-03-09,2014-03-09,,"Wallace Beery","Grand Hotel","April 1, 1885"
314,nm0000859,2014-03-10,2014-03-10,,"Lionel Barrymore","You Can't Take It with You","April 28, 1878"
315,nm0000156,2014-03-10,2014-03-10,,"Jeff Goldblum","Jurassic Park","October 22, 1952"
316,nm1165110,2014-03-09,2014-03-09,,"Chris Hemsworth","Thor: Ragnarok","August 11, 1983"
317,nm0062828,2014-03-10,2014-03-10,,"Warner Baxter","Penthouse","March 29, 1889"
318,nm0417837,2014-03-10,2014-03-10,,"Emil Jannings","Faust: Eine deutsche Volkssage","July 23, 1884"
319,nm0177933,2014-03-10,2014-03-10,,"Chris Cooper","Adaptation.","July 9, 1951"
320,nm0000980,2014-03-10,2014-03-10,,"Jim Broadbent","Moulin Rouge!","May 24, 1949"
321,nm0000336,2014-03-10,2014-03-10,,"James Coburn","The Great Escape","August 31, 1928"
322,nm0000421,2014-03-10,2014-03-10,,"Cuba Gooding Jr.","Jerry Maguire","January 2, 1968"
323,nm0001445,2014-03-10,2014-03-10,,"Martin Landau","Ed Wood","June 20, 1928"
324,nm0001588,2014-03-10,2014-03-10,,"Jack Palance","City Slickers","February 18, 1919"
325,nm0000177,2014-03-10,2014-03-10,,"Kevin Kline","Wild Wild West","October 24, 1947"
326,nm0000747,2014-03-10,2014-03-10,,"Don Ameche","Cocoon","May 31, 1908"
327,nm0000295,2014-03-10,2014-03-10,,"Kate Beckinsale","Love & Friendship","July 26, 1973"
328,nm0221046,2014-03-10,2014-03-10,,"Zooey Deschanel","New Girl","January 17, 1980"
329,nm0931329,2014-03-10,2014-03-10,,"Michelle Williams","Blue Valentine","September 9, 1980"
330,nm0000170,2014-03-10,2014-03-10,,"Milla Jovovich","The Fifth Element","December 17, 1975"
331,nm1411125,2014-03-10,2014-03-10,,"Selena Gomez","Spring Breakers","July 22, 1992"
332,nm0001838,2014-03-10,2014-03-10,,"Rachel Weisz","The Constant Gardener","March 7, 1970"
333,nm0068338,2014-03-10,2014-03-10,,"Kristen Bell","Frozen","July 18, 1980"
334,nm0001337,2014-03-10,2014-03-10,,"Katherine Heigl","One for the Money","November 24, 1978"
335,nm0000239,2014-03-10,2014-03-10,,"Liv Tyler","Armageddon","July 1, 1977"
336,nm1567113,2014-03-10,2014-03-10,,"Jessica Chastain","Zero Dark Thirty","March 24, 1977"
337,nm1083271,2014-03-10,2014-03-10,,"Megan Fox","Transformers","May 16, 1986"
338,nm0924508,2014-03-10,2014-03-10,,"Betty White","The Proposal","January 17, 1922"
339,nm0656183,2014-03-10,2014-03-10,,"Geraldine Page","Sweet Bird of Youth","November 22, 1924"
340,nm0244630,2014-03-10,2014-03-10,,"Eliza Dushku","Bring It On","December 30, 1980"
341,nm0000705,2014-03-10,2014-03-10,,"Robin Wright","Forrest Gump","April 8, 1966"
342,nm1015262,2014-03-10,2014-03-10,,"Leighton Meester","The Roommate","April 9, 1986"
343,nm0428354,2014-03-09,2014-03-09,,"Jennifer Jones","Madame Bovary","March 2, 1919"
344,nm0000073,2014-03-10,2014-03-10,,"Shirley Temple","Rebecca of Sunnybrook Farm","April 23, 1928"
345,nm0000506,2014-03-10,2014-03-10,,"Julia Louis-Dreyfus","Seinfeld","January 13, 1961"
346,nm1880888,2014-03-10,2014-03-10,,"Olivia Thirlby","Juno","October 6, 1986"
347,nm0000333,2014-03-10,2014-03-10,,"Cher","Moonstruck","May 20, 1946"
348,nm0000651,2014-03-09,2014-03-09,,"Sissy Spacek","In the Bedroom","December 25, 1949"
349,nm0001221,2014-03-10,2014-03-10,,"Louise Fletcher","One Flew Over the Cuckoo's Nest","July 22, 1934"
350,nm0001046,2014-03-10,2014-03-10,,"Julie Christie","Doctor Zhivago","April 14, 1940"
351,nm0623658,2014-03-10,2014-03-10,,"Patricia Neal","The Day the Earth Stood Still","January 20, 1926"
352,nm0628955,2014-03-10,2014-03-10,,"Haing S. Ngor","The Killing Fields","March 22, 1940"
353,nm0001283,2014-03-10,2014-03-10,,"Louis Gossett Jr.","An Officer and a Gentleman","May 27, 1936"
354,nm0000024,2014-03-10,2014-03-10,,"John Gielgud","Arthur","April 14, 1904"
355,nm0000459,2014-03-10,2014-03-10,,"Timothy Hutton","Ordinary People","August 16, 1960"
356,nm0002048,2014-03-10,2014-03-10,,"Melvyn Douglas","Being There","April 5, 1901"
357,nm0001673,2014-03-10,2014-03-10,,"Jason Robards","All the President's Men","July 26, 1922"
358,nm0122675,2014-03-10,2014-03-10,,"George Burns","Oh, God!","January 20, 1896"
359,nm0000288,2014-03-09,2014-03-09,,"Christian Bale","The Dark Knight","January 30, 1974"
360,nm0000160,2014-03-10,2014-03-10,,"Ethan Hawke","Training Day","November 6, 1970"
361,nm0424565,2014-03-10,2014-03-10,,"Ben Johnson","The Last Picture Show","June 13, 1918"
362,nm0590055,2014-03-10,2014-03-10,,"John Mills","Great Expectations","February 22, 1908"
363,nm0016776,2014-03-10,2014-03-10,,"Jack Albertson","Willy Wonka & the Chocolate Factory","June 16, 1907"
364,nm0000576,2014-03-09,2014-03-09,,"Sean Penn","Mystic River","August 17, 1960"
365,nm0001421,2014-03-10,2014-03-10,,"George Kennedy","Cool Hand Luke","February 18, 1925"
366,nm0000527,2014-03-10,2014-03-10,,"Walter Matthau","The Odd Couple","October 1, 1920"
367,nm0000842,2014-03-10,2014-03-10,,"Martin Balsam","All the President's Men","November 4, 1919"
368,nm0001811,2014-03-10,2014-03-10,,"Peter Ustinov","Spartacus","April 16, 1921"
369,nm0003225,2014-03-10,2014-03-10,,"Ed Begley","12 Angry Men","March 25, 1901"
370,nm0001995,2014-03-10,2014-03-10,,"George Chakiris","West Side Story","September 16, 1932"
371,nm0341518,2014-03-10,2014-03-10,,"Hugh Griffith","Ben-Hur","May 30, 1912"
372,nm0412322,2014-03-10,2014-03-10,,"Burl Ives","The Big Country","June 14, 1909"
373,nm0000999,2014-03-10,2014-03-10,,"Red Buttons","Pete's Dragon","February 5, 1919"
374,nm0639529,2014-03-10,2014-03-10,,"Edmond O'Brien","The Man Who Shot Liberty Valance","September 10, 1915"
375,nm0695435,2015-03-08,2015-03-08,,"Chris Pratt","Guardians of the Galaxy","June 21, 1979"
376,nm0000069,2014-03-10,2014-03-10,,"Frank Sinatra","From Here to Eternity","December 12, 1915"
377,nm0000843,2014-03-10,2014-03-10,,"Anne Bancroft","The Graduate","September 17, 1931"
378,nm0001571,2014-03-10,2014-03-10,,"Kim Novak","Vertigo","February 13, 1933"
379,nm0797531,2014-03-10,2014-03-10,,"Simone Signoret","Les diaboliques","March 25, 1921"
380,nm0680983,2014-03-10,2014-03-10,,"Elliot Page","Juno","February 21, 1987"
381,nm0001450,2017-09-16,2017-09-16,,"Angela Lansbury","The Manchurian Candidate","October 16, 1925"
382,nm0391062,2014-03-10,2014-03-10,,"Judy Holliday","Born Yesterday","June 21, 1921"
383,nm0949835,2014-03-10,2014-03-10,,"Loretta Young","Midnight Mary","January 6, 1913"
384,nm0429250,2014-03-10,2014-03-10,,"Shirley Jones","The Music Man","March 31, 1934"
385,nm0267812,2014-03-10,2014-03-10,,"Vera Farmiga","Up in the Air","August 6, 1973"
386,nm0371040,2014-03-10,2014-03-10,,"Helen Hayes","Airport","October 10, 1900"
387,nm0237597,2014-03-10,2014-03-10,,"Marie Dressler","Dinner at Eight","November 9, 1868"
388,nm0310980,2014-03-10,2014-03-10,,"Janet Gaynor","A Star Is Born","October 6, 1906"
389,nm2143282,2014-03-10,2014-03-10,,"Lupita Nyong'o","12 Years a Slave","March 1, 1983"
390,nm0818055,2014-03-10,2014-03-10,,"Octavia Spencer","Hidden Figures","May 25, 1970"
391,nm0502425,2014-03-10,2014-03-10,,"Melissa Leo","The Fighter","September 14, 1960"
392,nm0594898,2014-03-10,2014-03-10,,"Mo'Nique","Precious","December 11, 1967"
393,nm0559144,2014-03-10,2014-03-10,,"Marlee Matlin","CODA","August 24, 1965"
394,nm0842770,2014-03-10,2014-03-10,,"Tilda Swinton","We Need to Talk About Kevin","November 5, 1960"
395,nm1617685,2014-03-10,2014-03-10,,"Jennifer Hudson","Dreamgirls","September 12, 1981"
396,nm0000250,2014-03-10,2014-03-10,,"Renée Zellweger","Chicago","April 25, 1969"
397,nm0001315,2014-03-10,2014-03-10,,"Marcia Gay Harden","Mystic River","August 14, 1959"
398,nm0001593,2014-03-10,2014-03-10,,"Anna Paquin","The Piano","July 24, 1982"
399,nm0000673,2014-03-10,2014-03-10,,"Marisa Tomei","My Cousin Vinny","December 4, 1964"
400,nm0001689,2014-03-10,2014-03-10,,"Mercedes Ruehl","The Fisher King","February 28, 1948"
401,nm0002084,2014-03-10,2014-03-10,,"Brenda Fricker","My Left Foot: The Story of Christy Brown","February 17, 1945"
402,nm0000606,2016-06-18,2016-06-18,,"Jean Reno","Léon","July 30, 1948"
403,nm0001695,2014-03-10,2014-03-10,,"George Sanders","All About Eve","July 3, 1906"
404,nm0415591,2014-03-10,2014-03-10,,"Dean Jagger","White Christmas","November 7, 1903"
405,nm0404158,2014-03-10,2014-03-10,,"Walter Huston","The Treasure of the Sierra Madre","April 6, 1884"
406,nm0350324,2014-03-10,2014-03-10,,"Edmund Gwenn","Miracle on 34th Street","September 26, 1877"
407,nm0751174,2014-03-10,2014-03-10,,"Harold Russell","The Best Years of Our Lives","January 14, 1914"
408,nm0000424,2014-03-10,2014-03-10,,"Hugh Grant","Love Actually","September 9, 1960"
409,nm0280178,2014-03-10,2014-03-10,,"Barry Fitzgerald","The Quiet Man","March 10, 1888"
410,nm0002013,2014-03-10,2014-03-10,,"Charles Coburn","The More the Merrier","June 19, 1877"
411,nm0001336,2014-03-10,2014-03-10,,"Van Heflin","Shane","December 13, 1908"
412,nm0187981,2014-03-10,2014-03-10,,"Donald Crisp","How Green Was My Valley","July 27, 1882"
413,nm0593775,2014-03-10,2014-03-10,,"Thomas Mitchell","Stagecoach","July 11, 1892"
414,nm0000974,2014-03-10,2014-03-10,,"Walter Brennan","To Have and Have Not","July 25, 1894"
415,nm0771584,2014-03-10,2014-03-10,,"Joseph Schildkraut","The Shop Around the Corner","March 22, 1896"
416,nm0000206,2014-03-10,2014-03-10,,"Keanu Reeves","The Matrix","September 2, 1964"
417,nm1475594,2014-03-10,2014-03-10,,"Channing Tatum","21 Jump Street","April 26, 1980"
418,nm0413168,2014-03-10,2014-03-10,,"Hugh Jackman","Les Misérables","October 12, 1968"
419,nm0425005,2014-03-10,2014-03-10,,"Dwayne Johnson","Black Adam","May 2, 1972"
420,nm0001191,2014-03-10,2014-03-10,,"Adam Sandler","The Waterboy","September 9, 1966"
421,nm0705356,2014-03-10,2014-03-10,,"Daniel Radcliffe","Harry Potter and the Deathly Hallows: Part 2","July 23, 1989"
422,nm0185819,2014-03-10,2014-03-10,,"Daniel Craig","No Time to Die","March 2, 1968"
423,nm0147147,2014-03-09,2014-03-09,,"Henry Cavill","Man of Steel","May 5, 1983"
424,nm0004874,2014-03-10,2014-03-10,,"Vin Diesel","The Fast and the Furious","July 18, 1967"
425,nm0000255,2014-03-10,2014-03-10,,"Ben Affleck","Argo","August 15, 1972"
426,nm1517976,2014-03-10,2014-03-10,,"Chris Pine","Star Trek","August 26, 1980"
427,nm0001156,2014-03-10,2014-03-10,,"Olympia Dukakis","Moonstruck","June 20, 1931"
428,nm0001919,2014-03-10,2014-03-10,,"Peggy Ashcroft","A Passage to India","December 22, 1907"
429,nm0001373,2014-03-10,2014-03-10,,"Linda Hunt","The Year of Living Dangerously","April 2, 1945"
430,nm0822972,2014-03-10,2014-03-10,,"Maureen Stapleton","Reds","June 21, 1925"
431,nm0005460,2014-03-10,2014-03-10,,"Mary Steenburgen","Last Vegas","February 8, 1953"
432,nm0833152,2014-03-10,2014-03-10,,"Beatrice Straight","Network","August 2, 1914"
433,nm0000603,2014-03-10,2014-03-10,,"Vanessa Redgrave","Atonement","January 30, 1937"
434,nm0335519,2014-03-10,2014-03-10,,"Lee Grant","In the Heat of the Night","October 31, 1925"
435,nm0373012,2014-03-10,2014-03-10,,"Eileen Heckart","The Bad Seed","March 29, 1919"
436,nm0001458,2014-03-10,2014-03-10,,"Cloris Leachman","The Last Picture Show","April 30, 1926"
437,nm0002106,2014-03-10,2014-03-10,,"Ruth Gordon","Rosemary's Baby","October 30, 1896"
438,nm0663820,2014-03-10,2014-03-10,,"Estelle Parsons","Bonnie and Clyde","November 20, 1927"
439,nm0006800,2014-03-10,2014-03-10,,"Sandy Dennis","Who's Afraid of Virginia Woolf?","April 27, 1937"
440,nm0001859,2014-03-10,2014-03-10,,"Shelley Winters","The Poseidon Adventure","August 18, 1920"
441,nm0350454,2014-03-10,2014-03-10,,"Maggie Gyllenhaal","Secretary","November 16, 1977"
442,nm0005017,2014-03-10,2014-03-10,,"Katie Holmes","Batman Begins","December 18, 1978"
443,nm0001157,2014-03-10,2014-03-10,,"Patty Duke","Valley of the Dolls","December 14, 1946"
444,nm0001549,2014-03-10,2014-03-10,,"Rita Moreno","West Side Story","December 11, 1931"
445,nm0384908,2014-03-10,2014-03-10,,"Wendy Hiller","A Man for All Seasons","August 15, 1912"
446,nm0880855,2014-03-10,2014-03-10,,"Miyoshi Umeki","Sayonara","May 8, 1929"
447,nm0540416,2014-03-10,2014-03-10,,"Dorothy Malone","Written on the Wind","January 29, 1924"
448,nm0886888,2014-03-10,2014-03-10,,"Jo Van Fleet","East of Eden","December 29, 1915"
449,nm0001693,2014-03-10,2014-03-10,,"Eva Marie Saint","On the Waterfront","July 4, 1924"
450,nm0002108,2014-03-10,2014-03-10,,"Gloria Grahame","In a Lonely Place","November 28, 1923"
451,nm0001375,2014-03-10,2014-03-10,,"Kim Hunter","A Streetcar Named Desire","November 12, 1922"
452,nm0002011,2019-04-12,2019-04-12,,"Lee J. Cobb","12 Angry Men","December 8, 1911"
453,nm1940449,2014-03-10,2014-03-10,,"Andrew Garfield","Hacksaw Ridge","August 20, 1983"
454,nm0001030,2019-04-12,2019-04-12,,"John Cazale","Dog Day Afternoon","August 12, 1935"
455,nm0719637,2014-03-10,2014-03-10,,"Jeremy Renner","The Hurt Locker","January 7, 1971"
456,nm0136797,2014-03-10,2014-03-10,,"Steve Carell","The Office","August 16, 1962"
457,nm0241121,2014-03-09,2014-03-09,,"Jean Dujardin","The Artist","June 19, 1972"
458,nm0262635,2014-03-10,2014-03-10,,"Chris Evans","The Avengers","June 13, 1981"
459,nm0290556,2014-03-10,2014-03-10,,"James Franco","Spring Breakers","April 19, 1978"
460,nm0302108,2014-03-10,2014-03-10,,"Zach Galifianakis","The Hangover","October 1, 1969"
461,nm0002071,2014-03-10,2014-03-10,,"Will Ferrell","Talladega Nights: The Ballad of Ricky Bobby","July 16, 1967"
462,nm0479471,2014-03-10,2014-03-10,,"Shia LaBeouf","Honey Boy","June 11"
463,nm0736622,2014-03-10,2014-03-10,,"Seth Rogen","This Is the End","April 15, 1982"
464,nm0330687,2014-03-10,2014-03-10,,"Joseph Gordon-Levitt","Inception","February 17, 1981"
465,nm0005351,2014-03-10,2014-03-10,,"Ryan Reynolds","Deadpool 2","October 23, 1976"
466,nm0748620,2014-03-10,2014-03-10,,"Paul Rudd","Ant-Man","April 6, 1969"
467,nm0781981,2014-03-10,2014-03-10,,"Jason Segel","Forgetting Sarah Marshall","January 18, 1980"
468,nm0005458,2014-03-10,2014-03-10,,"Jason Statham","Crank","July 26, 1967"
469,nm0001813,2016-06-18,2016-06-18,,"Dick Van Dyke","Mary Poppins","December 13, 1925"
470,nm0251986,2014-03-10,2014-03-10,,"Jesse Eisenberg","A Real Pain","October 5, 1983"
471,nm0005562,2014-03-10,2014-03-10,,"Owen Wilson","The Royal Tenenbaums","November 18, 1968"
472,nm0000867,2014-03-10,2014-03-10,,"Jason Bateman","Arrested Development","January 14, 1969"
473,nm1347153,2014-03-10,2014-03-10,,"Tyler Perry","Diary of a Mad Black Woman","September 14, 1969"
474,nm2955013,2014-03-10,2014-03-10,,"Liam Hemsworth","The Hunger Games","January 13, 1990"
475,nm0000638,2014-03-10,2014-03-10,,"William Shatner","Star Trek V: The Final Frontier","March 22, 1931"
476,nm0000698,2014-03-09,2014-03-09,,"Gene Wilder","Willy Wonka & the Chocolate Factory","June 11, 1933"
477,nm0000301,2014-03-10,2014-03-10,,"Thora Birch","Ghost World","March 11, 1982"
478,nm0872456,2014-03-10,2014-03-10,,"Claire Trevor","Key Largo","March 8, 1910"
479,nm0002141,2014-03-10,2014-03-10,,"Celeste Holm","All About Eve","April 29, 1917"
480,nm0000879,2014-03-10,2014-03-10,,"Anne Baxter","All About Eve","May 7, 1923"
481,nm0001451,2014-03-10,2014-03-10,,"Queen Latifah","Chicago","March 18, 1970"
482,nm0000856,2014-03-10,2014-03-10,,"Ethel Barrymore","The Spiral Staircase","August 15, 1879"
483,nm0206257,2014-03-10,2014-03-10,,"Rosario Dawson","Rent","May 9, 1979"
484,nm0942863,2014-03-10,2014-03-10,,"Teresa Wright","Shadow of a Doubt","October 27, 1918"
485,nm0000802,2014-03-10,2014-03-10,,"Mary Astor","The Maltese Falcon","May 3, 1906"
486,nm0002034,2014-03-10,2014-03-10,,"Jane Darwell","The Grapes of Wrath","October 15, 1879"
487,nm2539953,2016-06-18,2016-06-18,,"Alicia Vikander","Ex Machina","October 3, 1988"
488,nm1985859,2014-03-10,2014-03-10,,"Mia Wasikowska","Alice in Wonderland","October 25, 1989"
489,nm1113550,2014-03-10,2014-03-10,,"Abigail Breslin","Little Miss Sunshine","April 14, 1996"
490,nm0814216,2014-03-10,2014-03-10,,"Gale Sondergaard","The Mark of Zorro","February 15, 1899"
491,nm0565250,2014-03-10,2014-03-10,,"Melissa McCarthy","The Heat","August 26, 1970"
492,nm0275486,2014-03-10,2014-03-10,,"Tina Fey","Date Night","May 18, 1970"
493,nm0757855,2014-03-10,2014-03-10,,"Zoe Saldaña","Avatar","June 19, 1978"
494,nm0005253,2014-03-10,2014-03-10,,"Elisabeth Moss","The Invisible Man","July 24, 1982"
495,nm1597316,2014-03-10,2014-03-10,,"Adrianne Palicki","G.I. Joe: Retaliation","May 6, 1983"
496,nm0004950,2014-03-10,2014-03-10,,"Jennifer Garner","Alias","April 17, 1972"
497,nm1325419,2014-03-10,2014-03-10,,"Kristen Wiig","Bridesmaids","August 22, 1973"
498,nm0820053,2014-03-10,2014-03-10,,"June Squibb","Nebraska","November 6, 1929"
499,nm1020089,2014-03-10,2014-03-10,,"Sally Hawkins","The Shape of Water","April 27, 1976"
500,nm0192505,2014-03-10,2014-03-10,,"Kaley Cuoco","The Big Bang Theory","November 30, 1985"
